mapel,kehadiran,nilai_mapel,hasil_akhir
bahasa_inggris_11,61,79,recourse
biologi_11,100,81,lulus
biologi_11,100,96,lulus
biologi_11,100,83,lulus
biologi_11,87,86,lulus
biologi_11,100,86,lulus
biologi_11,43,48,recourse
biologi_11,93,74,recourse
biologi_11,100,94,lulus
biologi_11,87,57,lulus
biologi_11,100,88,lulus
biologi_11,87,88,lulus
biologi_11,100,84,lulus
biologi_11,100,92,lulus
biologi_11,73,69,lulus
biologi_11,100,87,lulus
biologi_11,93,71,recourse
biologi_11,93,84,lulus
biologi_11,100,96,lulus
biologi_11,87,73,lulus
biologi_11,100,94,lulus
biologi_11,100,82,lulus
biologi_11,80,89,lulus
biologi_11,80,85,lulus
biologi_11,60,89,lulus
biologi_11,100,89,lulus
biologi_11,70,70,lulus
biologi_11,100,91,lulus
biologi_11,60,73,lulus
biologi_11,80,77,lulus
biologi_11,87,93,lulus
biologi_11,100,89,lulus
biologi_11,100,94,lulus
biologi_11,60,94,lulus
biologi_11,60,72,lulus
biologi_11,100,88,lulus
fisika_11,96,81,lulus
fisika_11,97,79,lulus
fisika_11,89,75,lulus
fisika_11,95,67,lulus
fisika_11,92,79,lulus
fisika_11,34,67,recourse
fisika_11,32,53,recourse
fisika_11,98,80,lulus
fisika_11,89,57,lulus
fisika_11,93,81,lulus
fisika_11,91,65,lulus
fisika_11,89,79,lulus
fisika_11,97,80,lulus
fisika_11,74,75,lulus
fisika_11,92,76,lulus
fisika_11,51,50,recourse
fisika_11,98,77,lulus
fisika_11,97,81,lulus
fisika_11,97,73,lulus
fisika_11,98,81,lulus
fisika_11,97,71,lulus
fisika_11,98,77,lulus
fisika_11,88,79,lulus
fisika_11,85,78,lulus
fisika_11,96,79,lulus
fisika_11,25,70,recourse
fisika_11,94,80,lulus
fisika_11,40,70,recourse
fisika_11,50,66,recourse
fisika_11,97,83,lulus
fisika_11,95,75,lulus
fisika_11,97,82,lulus
fisika_11,97,82,lulus
fisika_11,81,64,lulus
fisika_11,99,76,lulus
geografi_11,29,30,recourse
geografi_11,100,83,lulus
geografi_11,82,74,recourse
geografi_11,100,84,lulus
geografi_11,76,84,lulus
geografi_11,82,72,lulus
geografi_11,76,79,lulus
geografi_11,47,79,recourse
geografi_11,71,73,recourse
geografi_11,82,70,lulus
geografi_11,76,83,recourse
geografi_11,35,68,recourse
geografi_11,53,34,recourse
geografi_11,76,60,recourse
geografi_11,94,86,lulus
geografi_11,85,70,lulus
geografi_11,75,87,lulus
geografi_11,82,85,lulus
geografi_11,25,13,recourse
geografi_11,85,83,lulus
geografi_11,85,89,lulus
geografi_11,38,76,recourse
geografi_11,50,62,recourse
geografi_11,88,71,lulus
geografi_11,100,82,lulus
geografi_11,50,72,recourse
geografi_11,82,77,lulus
geografi_11,88,80,lulus
geografi_11,50,61,recourse
geografi_11,94,76,lulus
geografi_11,75,88,lulus
geografi_11,88,84,lulus
geografi_11,44,62,recourse
geografi_11,75,82,lulus
